id;username;nama;alamat;password;role
1;SwirlL;Gare Baldhie;Jalan Sadang Luhur III no 15;gare;admin
2;Kuman;Dhika;gapunya rumah;dhikamautai;user
3;bau;gagas;rumahkuistanaku;gagasgapunyatai;user
4;markokuda;Marko;jln semarang44a;markodibalik;user
5;Fr1tZ;aira;deket kharisma motor;airagorengjelek;user
6;steppy28;Rania;bsdgoreng;operavanjava;user
7;queenexotica;Sarah Azka Arief;jalan cibubur naik haji;mauomen;user
8;budi;Januar;gaming;ghifari;user
9;apwic;Anca;masihbronze;humblegod;user
10;Dushkerr;Amelia Ats;Gaktau rumahnyadimana :(;meng123;user
11;Gedearyarp;Dipa;jl bali;poopita;user
